datetime,Open,High,Low,Close
01/01/21,28912.47,28940,28896.36,28897.2
02/01/21,29131.88,29147.95,29057.41,29092.4
03/01/21,33032.97,33049.41,32845.31,32845.31
04/01/21,32758.87,32768.15,32671.96,32696.77
05/01/21,31179.5,31292.99,31179.5,31279.71
06/01/21,33499.99,33543,33482.8,33520.65
07/01/21,35347.63,35361.77,35334.68,35340.53
08/01/21,38907.54,38994.15,38825.87,38864.67
09/01/21,39938.32,40249.17,39938.32,40237.85
10/01/21,40731.16,40742.47,40724.99,40739.09
11/01/21,38078.08,38078.08,37965.56,37996.85
12/01/21,32545.83,32671.41,32530.53,32629.82
13/01/21,35036.9,35036.9,34904.94,34935.97
14/01/21,35698.57,35795.92,35698.57,35756.97
15/01/21,39296.62,39430.91,39291.61,39430.91
16/01/21,35450.33,35579.4,35450.33,35537.39
17/01/21,36517.63,36586.25,36517.63,36586.25
18/01/21,35680,35905.75,35680,35859.92
19/01/21,35783.96,35783.96,35730.22,35782.29
20/01/21,36446.95,36546.16,36443.11,36546.16
21/01/21,35268,35268,35187.41,35230.74
22/01/21,31742.9,31747.63,31651.94,31659.9
23/01/21,33345.79,33368.44,33280,33280
24/01/21,32203.35,32289.73,32171.02,32289.72
25/01/21,31859.6,31859.6,31775.3,31775.3
26/01/21,33640,33640,33578.25,33586.76
27/01/21,32275.69,32335.5,32275.69,32314.02
28/01/21,29740.24,29954.94,29740.24,29941.4
29/01/21,32703.9,32726.58,32623.17,32641.67
30/01/21,35230.39,35232.69,35102.44,35158.25
31/01/21,34363.25,34397.03,34353.72,34397.03
01/02/21,32489.13,32533.11,32440.98,32489.03
02/02/21,33731.47,33746.65,33700,33700.61
03/02/21,35313.95,35328.97,35262.09,35263.68
04/02/21,37200.82,37200.82,37088.32,37088.32
05/02/21,37200,37276.8,37200,37251.45
06/02/21,37423.85,37459.75,37407.79,37451.74
07/02/21,40383.43,40401.51,40366.41,40380.59
08/02/21,38321.26,38380.05,38321.26,38367.5
09/02/21,42696.34,42760.22,42696.34,42750
10/02/21,47072.73,47094.48,47031.93,47070.92
11/02/21,45159.42,45178.44,44990.47,45010.37
12/02/21,47711.78,47778,47711.78,47719.14
13/02/21,47313.11,47344.16,47276.34,47327.45
14/02/21,46832.94,46832.94,46777.54,46812.1
15/02/21,48780.3,48784.7,48668.13,48708.86
16/02/21,48390.64,48461.3,48390.64,48442.54
17/02/21,48666.12,48676.68,48648.92,48652.79
18/02/21,51427.41,51427.41,51381.29,51392.81
19/02/21,51800,51849.99,51798.25,51837.94
20/02/21,55400.02,55538.69,55399.26,55500.15
21/02/21,57161.4,57251.36,57159.64,57236.82
22/02/21,58206.59,58273.44,58155.37,58255.44
23/02/21,53231.55,53242.87,53080.95,53086.91
24/02/21,46811.12,46867.27,46663.37,46780.7
25/02/21,49623.33,49634.51,49614.65,49614.65
26/02/21,49537.47,49537.47,49350,49377.22
27/02/21,47309.17,47452.83,47309.17,47445.45
28/02/21,47152,47152,47080.8,47146.64
01/03/21,43741.54,43851.3,43741.54,43836.51
02/03/21,48514.97,48529.99,48389.66,48392.38
03/03/21,47688.47,47784,47688.47,47784
04/03/21,51275.9,51281.95,51261.28,51263.76
05/03/21,47600,47736.62,47557.9,47736.62
06/03/21,48503.73,48534.98,48479.11,48479.11
07/03/21,48490.75,48494.87,48440.08,48456.88
08/03/21,50409.58,50409.58,50319.16,50371.65
09/03/21,50806.23,50856.81,50806.23,50856.81
10/03/21,53906.93,53906.93,53833.9,53862.73
11/03/21,56727.25,56727.25,56669.49,56692.97
12/03/21,57536.62,57700,57536.62,57614.31
13/03/21,57353.14,57527.3,57344.4,57490.15
14/03/21,60303.33,60315.34,60258.62,60311.13
15/03/21,59935.87,60056.76,59935.87,60009.48
16/03/21,56631.89,56667.92,56564.19,56589.36
17/03/21,55750.76,55767.66,55691.08,55731.67
18/03/21,57909.61,58099.99,57909.61,58097.07
19/03/21,57287.58,57399.17,57000,57051.71
20/03/21,58879.81,58964.62,58871.02,58950.98
21/03/21,59289.74,59389.87,59289.74,59337.99
22/03/21,57571.73,57668.76,57571.73,57668.76
23/03/21,55540,55558.92,55364.99,55450
24/03/21,55002.53,55067.67,54972.63,54972.63
25/03/21,54703.59,54703.59,54529.46,54529.46
26/03/21,52223.72,52339,52223.72,52339
27/03/21,53850.24,53881.03,53844.79,53880.93
28/03/21,55890.66,55915.71,55890.59,55912.44
29/03/21,55217.76,55217.76,55104.98,55134.49
30/03/21,57665.67,57726.05,57665.67,57717.19
31/03/21,59118.91,59135,59023.96,59037.79
01/04/21,58601.17,58691.39,58399.44,58421.56
02/04/21,58927.59,58934.4,58887.04,58934.4
03/04/21,58864.8,58864.8,58800.7,58834.76
04/04/21,58588.26,58588.27,58503.07,58535.89
05/04/21,57972.69,57984.07,57969.06,57969.06
06/04/21,59065.52,59069.46,59051.24,59054.03
07/04/21,58258.14,58327.62,58258.14,58327.62
08/04/21,56075.95,56099.82,56024.76,56026.71
09/04/21,57729,57764.35,57729,57764.35
10/04/21,58377.2,58399.48,58371.82,58396.84
11/04/21,59536.96,59628.58,59536.96,59614.36
12/04/21,59673.05,59701.22,59643.05,59643.05
13/04/21,60044.47,60050,60036.99,60050
14/04/21,63043.49,63108.95,63018.05,63089.85
15/04/21,62140.95,62171.45,62026.79,62026.79
16/04/21,63482.22,63568.08,63482.22,63498
17/04/21,61863.98,61950,61858.23,61889.11
18/04/21,60765.43,60810.18,60765.43,60784.22
19/04/21,55828.36,55879.98,55828.36,55878.65
20/04/21,56027.41,56030.74,55953.77,55976.64
21/04/21,56639.28,56719.12,56639.28,56686.75
22/04/21,55513.09,55513.09,55406.73,55413.53
23/04/21,52921.52,52921.52,52632.78,52674.38
24/04/21,50969.63,50998.23,50944.12,50972.38
25/04/21,50737,50824.59,50737,50797.19
26/04/21,49368.83,49377.29,49275.15,49305.87
27/04/21,54102.08,54102.08,53960.84,53960.84
28/04/21,54846.82,54887.86,54846.82,54887.86
29/04/21,55479.42,55519,55384.78,55472.19
30/04/21,52892.87,52892.87,52800,52818.49
01/05/21,57092.42,57104.76,57070.25,57096.83
02/05/21,57828.02,57828.02,57797.4,57809.86
03/05/21,56916.72,56962.45,56916.72,56929.27
04/05/21,57547.38,57558.98,57466.7,57501.84
05/05/21,54603.47,54641.71,54603.47,54635.04
06/05/21,57166.9,57202.15,57063.93,57074.53
07/05/21,56190.29,56252.62,56165.31,56170.85
08/05/21,57643.47,57820.11,57643.47,57764.11
09/05/21,59093.68,59131.34,59089.47,59131.34
10/05/21,57345.42,57452.23,57287.72,57445.28
11/05/21,55694.85,55694.86,55538.32,55577.05
12/05/21,56724.25,56744.97,56689.48,56723.91
13/05/21,54469.85,54503.97,54382.49,54420.81
14/05/21,48559.35,48814.28,48522.2,48804.43
15/05/21,50200.95,50279.59,50199.19,50264.06
16/05/21,48149.13,48238.14,48080,48094.71
17/05/21,45546.72,45785.15,45456.89,45785.15
18/05/21,44235.01,44275.11,44189.88,44197.87
19/05/21,43286.18,43322.74,43220.79,43258.07
20/05/21,39413.18,39817.4,39409.92,39748.23
21/05/21,40226.84,40226.84,39946.76,39946.76
22/05/21,36094.58,36239.63,36086.63,36239.63
23/05/21,37343.12,37404.72,37343.12,37386.16
24/05/21,33132.6,33262.17,33132.6,33185.1
25/05/21,39680.99,39926.54,39680.99,39849.8
26/05/21,37365.72,37457.93,37341.02,37392.9
27/05/21,38547.69,38547.69,38464.95,38475.4
28/05/21,38822.96,38822.96,38801.4,38805.76
29/05/21,35806.14,35939.8,35806.14,35928.99
30/05/21,34050.9,34193.23,34050.9,34166.13
31/05/21,36102.48,36103.96,36059.21,36060.87
01/06/21,36903.62,37000,36903.54,36998.1
02/06/21,36002.33,36055.71,35972.75,36040.27
03/06/21,37841.93,37841.93,37801.24,37819.6
04/06/21,38576.41,38631.85,38569.12,38625.15
05/06/21,36828.09,36891,36828.09,36880.92
06/06/21,35764.83,35781.27,35705,35781.27
07/06/21,35730.9,35731.06,35714.86,35720.77
08/06/21,35631.07,35634.06,35599.65,35631.26
09/06/21,32911.13,32929.51,32828.31,32856.14
10/06/21,36291.76,36395.3,36291.76,36341.55
11/06/21,36706.18,36713.35,36632.36,36636.5
12/06/21,37261.88,37261.88,37200,37227.73
13/06/21,35788.18,35798.51,35782.41,35793.02
14/06/21,37700,37729.52,37685.02,37696.91
15/06/21,39696.86,39696.86,39673.05,39682.44
16/06/21,39966.88,39973.23,39888.75,39938.77
17/06/21,38679.31,38679.31,38603.76,38626.96
18/06/21,37682.9,37682.9,37569.49,37590
19/06/21,35313.83,35374.31,35239.68,35374.31
20/06/21,35941.85,35946.78,35931.14,35932.44
21/06/21,35512.11,35555.52,35438.5,35438.5
22/06/21,32583.38,32647.44,32566.9,32645.25
23/06/21,32414.67,32515.7,32380.29,32434.58
24/06/21,32897.81,33016.22,32869.44,32956.05
25/06/21,34865.22,34898.5,34813.82,34813.82
26/06/21,32216.72,32224.66,32139.98,32139.98
27/06/21,31591.13,31591.13,31498.91,31529.7
28/06/21,32808.72,32872.04,32808.72,32830.09
29/06/21,34463.82,34463.82,34363.25,34378.85
30/06/21,36413.16,36432.46,36413.16,36432.46
01/07/21,34786.46,34816.94,34786.46,34816.94
02/07/21,33139,33205.39,33139,33178.9
03/07/21,33332.53,33332.53,33314.68,33320.53
04/07/21,34753.97,34760.45,34748.19,34748.19
05/07/21,35565.98,35572.08,35529.42,35549.58
06/07/21,34149.71,34198.08,34149.71,34198.08
07/07/21,34037.47,34037.47,33993.13,34029
08/07/21,34619.31,34626.21,34601.79,34601.79
09/07/21,33031.89,33071.38,32999.3,33033.79
10/07/21,33449.51,33480.4,33449.51,33480.4
11/07/21,33426.36,33426.36,33405,33405
12/07/21,33890.48,33890.48,33878.44,33882.36
13/07/21,32793.03,32804.74,32766.35,32766.35
14/07/21,32286.64,32314.24,32245.83,32314.24
15/07/21,32738.65,32738.65,32710,32716.36
16/07/21,31533.98,31603.75,31533.98,31598.25
17/07/21,31900,31953.71,31900,31953.71
18/07/21,31869.45,31869.95,31859.74,31859.74
19/07/21,31625.42,31642.87,31622.97,31637.62
20/07/21,30748.31,30781.54,30748.31,30770
21/07/21,29790.12,29790.83,29780.9,29780.9
22/07/21,31634.86,31668.65,31584.84,31621.64
23/07/21,32387.9,32389.17,32365.11,32377.86
24/07/21,32267.75,32288.86,32260.13,32267.52
25/07/21,33850,33914.88,33833.73,33914.88
26/07/21,34379,34387.16,34339.36,34368.96
27/07/21,39318.83,39489.25,39070,39090.35
28/07/21,37816.22,37896.02,37816.22,37838.97
29/07/21,40373.57,40376.01,40353.28,40355.67
30/07/21,39677.03,39695.9,39665.78,39695.9
31/07/21,39909.99,39986.16,39776.25,39837.7
01/08/21,41317.48,41317.74,41298.9,41307.38
02/08/21,41279.64,41352.31,41279.64,41341.3
03/08/21,39169.71,39253.62,39169.71,39253.62
